t,x
0.8820000000000001,-0.123685
0.8830000000000001,-0.153142
0.8840000000000001,-0.618319
0.8850000000000001,-0.291645
0.8860000000000001,-0.490503
0.8870000000000001,-0.224725
0.8880000000000001,-0.274846
0.8890000000000001,-0.443104
0.8900000000000001,-0.287833
0.8910000000000001,-0.222196
0.8920000000000001,-0.48866
0.8930000000000001,-0.227624
0.8940000000000001,-0.33895
0.895,0.040775
0.896,-0.395719
0.897,-0.374533
0.898,-0.204178
0.899,0.053673
0.9,-0.555689
0.901,-0.445677
0.902,-0.426031
0.903,-0.420584
0.904,-0.558517
0.905,-0.680821
0.906,-0.22713
0.907,-0.311146
0.908,-0.552881
0.909,-0.506305
0.91,-0.320871
0.911,-0.457831
0.912,-0.321842
0.913,-0.655342
0.914,-0.221082
0.915,-0.126487
0.916,-0.426838
0.917,-0.634808
0.918,-0.411194
0.919,-0.484546
0.92,-0.370565
0.921,-0.158553
0.922,-0.084585
0.923,-0.313049
0.924,-0.458328
0.925,-0.254823
0.926,-0.298412
0.927,-0.364413
0.928,-0.587768
0.929,-0.635974
0.93,-0.34486
0.931,-0.228711
0.932,-0.657625
0.933,-0.511122
0.934,-0.15008
0.935,-0.501843
0.936,-0.454645
0.937,-0.255134
0.938,-0.529508
0.939,-0.463124
0.94,-0.416487
0.941,-0.30535
0.942,-0.262607
0.943,-0.347364
0.944,0.037037
0.945,-0.205957
0.946,-0.265872
0.947,-0.088624
0.948,-0.324678
0.949,-0.249432
0.95,-0.684151
0.951,-0.482272
0.952,-0.285282
0.953,-0.20303
0.954,-0.384054
0.955,-0.290973
0.956,-0.419436
0.957,-0.383181
0.958,-0.520618
0.959,-0.242064
0.96,-0.836012
0.961,-0.327095
0.962,-0.105336
0.963,-0.314137
0.964,-0.265397
0.965,-0.356509
0.966,-0.141345
0.967,-0.199075
0.968,-0.581028
0.969,-0.435735
0.97,-0.617536
0.971,-0.399128
0.972,-0.436211
0.973,-0.665142
0.974,-0.272214
0.975,-0.347433
0.976,-0.474212
0.977,-0.236452
0.978,-0.644062
0.979,-0.061037
0.98,-0.244773
0.981,-0.215189
0.982,-0.139825
0.983,-0.317344
0.984,-0.18995
0.985,-0.389934
0.986,-0.321671
0.987,-0.125681
0.988,-0.396677
0.989,-0.594577
0.99,-0.321374
0.991,-0.201574
0.992,-0.25601
0.993,-0.113171
0.994,-0.61502
0.995,-0.519721
0.996,-0.443639
0.997,-0.658467
0.998,-0.546514
0.999,-0.698254
1.0,-0.378916
1.001,-0.144823
1.002,-0.610375
1.003,-0.212272
1.004,-0.492092
1.005,-0.669621
1.006,-0.270942
1.007,-0.787442
1.008,-0.11242
1.009,0.122969
1.01,-0.334031
1.011,-0.324175
1.012,-0.427381
1.013,-0.34481
1.014,-0.383489
1.015,-0.670579
1.016,-0.926939
1.017,-0.894389
1.018,-0.503757
1.019,-0.597434
1.02,-0.587379
1.021,-0.454696
1.022,-0.273226
1.023,-0.591515
1.024,-0.522964
1.025,-0.359875
1.026,-0.368996
1.027,-0.005898
1.028,-0.435999
1.029,-0.343585
1.03,-0.507987
1.031,-0.450906
1.032,-0.531473
1.033,-0.511623
1.034,-0.660516
1.035,-0.355141
1.036,-0.336005
1.037,-0.915858
1.038,-0.462415
1.039,-0.351885
1.04,-0.220525
1.041,-0.670062
1.042,-0.393939
1.043,-0.312627
1.044,-0.972527
1.0450000000000002,-0.188648
1.046,-0.320105
1.0470000000000002,-0.519595
1.048,-0.209174
1.0490000000000002,-0.574692
1.05,-0.413735
1.0510000000000002,-0.35984
1.052,-0.192743
1.0530000000000002,-0.166333
1.054,-0.462612
1.0550000000000002,-0.541052
1.056,-0.583982
1.0570000000000002,-0.691969
1.058,0.344901
1.0590000000000002,-0.555837
1.06,-0.251278
1.0610000000000002,-0.386309
1.062,-0.319002
1.0630000000000002,-0.2245
1.064,-0.359236
1.0650000000000002,-0.187341
1.066,-0.385903
1.0670000000000002,-0.297995
1.068,-0.475961
1.0690000000000002,-0.46406
1.07,-0.387052
1.0710000000000002,-0.342348
1.072,-0.508968
1.0730000000000002,-0.66608
1.074,-0.421461
1.0750000000000002,-0.386824
1.076,-0.120258
1.0770000000000002,-0.022261
1.078,-0.229003
1.0790000000000002,-0.001268
1.08,-0.363449
1.0810000000000002,-0.637911
1.082,-0.034284
1.0830000000000002,0.071604
1.084,-0.346286
1.0850000000000002,-0.152624
1.086,-0.235807
1.0870000000000002,-0.426906
1.088,-0.27177
1.0890000000000002,-0.644198
1.09,-0.491418
1.0910000000000002,-0.540935
1.092,-0.694171
1.0930000000000002,-0.439669
1.094,-0.655741
1.0950000000000002,-0.32112
1.096,-0.386589
1.0970000000000002,-0.049608
1.098,-0.417776
1.0990000000000002,-0.28849
1.1,-0.566525
1.1010000000000002,-0.400569
1.102,-0.196214
1.103,-0.350096
1.104,-0.218856
1.105,-0.248952
1.106,0.118337
1.107,-0.117824
1.108,-0.387577
1.109,-0.484689
1.11,-0.046301
1.111,-0.226413
1.112,-0.296599
1.113,-0.335973
1.114,-0.335942
1.115,-0.4495
1.116,-0.475656
1.117,-0.321765
1.118,-0.198559
1.119,-0.451084
1.12,-0.48967
1.121,-0.300672
1.122,-0.379812
1.123,-0.204129
1.124,-0.321754
1.125,-0.637314
1.126,-0.098286
1.127,-0.176214
1.128,-0.395941
1.129,-0.246684
1.13,-0.250672
1.131,-0.205667
1.132,-0.228481
1.133,-0.377766
1.134,-0.269904
1.135,-0.250677
1.136,-0.302477
1.137,-0.224093
1.138,-0.372623
1.139,-0.308589
1.14,-0.425224
1.141,-0.410808
1.142,-0.356088
1.143,-0.106488
1.144,-0.598665
1.145,-0.608971
1.146,-0.566014
1.147,-0.033046
1.148,-0.168148
1.149,-0.513885
1.15,-0.483377
1.151,-0.419306
1.152,-0.757021
1.153,-0.406982
1.154,-0.427272
1.155,-0.188562
1.156,-0.180151
1.157,-0.171563
1.158,-0.185109
1.159,-0.463664
1.16,-0.373103
1.161,-0.290111
1.162,-0.653219
1.163,-0.677183
1.164,-0.418267
1.165,-0.255233
1.166,-0.462087
1.167,-0.834189
1.168,-0.675381
1.169,-0.55388
1.1700000000000002,-0.572772
1.171,-0.396441
1.1720000000000002,-0.207415
1.173,-0.384471
1.1740000000000002,-0.385395
1.175,-0.328013
1.1760000000000002,-0.223774
1.177,-0.746278
1.1780000000000002,-0.507306
1.179,-0.48323
1.1800000000000002,-0.409503
1.181,-0.529796
1.1820000000000002,-0.073368
1.183,-0.161865
1.1840000000000002,-0.588652
1.185,-0.031277
1.1860000000000002,-0.484572
1.187,-0.287718
1.1880000000000002,-0.051326
1.189,-0.765733
1.1900000000000002,-0.55369
1.191,-0.479481
1.1920000000000002,-0.143236
1.193,-0.56704
1.1940000000000002,-0.529871
1.195,-0.276415
1.1960000000000002,-0.64029
1.197,-0.306216
