x,p,pconv
-4.049049049049049,2.6899753090473364e-73,7.218208440230565e-68
-4.039039039039039,4.4372397947493335e-73,1.1906771645844566e-67
-4.029029029029029,7.319434096620041e-73,1.964077543620501e-67
-4.019019019019019,1.2073748089558014e-72,3.239837558067751e-67
-4.009009009009009,1.9916210871741795e-72,5.344263232762946e-67
-3.998998998998999,3.285271918425604e-72,8.815611582111698e-67
-3.988988988988989,5.419209330279414e-72,1.4541762668094081e-66
-3.978978978978979,8.939238667178988e-72,2.3987316084146384e-66
-3.968968968968969,1.4745691313730834e-71,3.9568197202338274e-66
-3.958958958958959,2.4323705901058378e-71,6.526958765836627e-66
-3.948948948948949,4.0123087902312094e-71,1.076652305210762e-65
-3.938938938938939,6.618490576086988e-71,1.7759882173348795e-65
-3.928928928928929,1.0917509044270064e-70,2.9295754375363455e-65
-3.918918918918919,1.800894061288888e-70,4.832471387166845e-65
-3.908908908908909,2.970658789321318e-70,7.97138705102778e-65
-3.898898898898899,4.900240293010982e-70,1.3149174909972313e-64
-3.888888888888889,8.083175023522288e-70,2.1690177594720203e-64
-3.878878878878879,1.3333574386970633e-69,3.577896007252157e-64
-3.868868868868869,2.1994353136672376e-69,5.901906419533883e-64
-3.858858858858859,3.6280711822732604e-69,9.73547004002693e-64
-3.848848848848849,5.984672712058465e-69,1.6059112117834498e-63
-3.838838838838839,9.871996901674511e-69,2.6490254805659627e-63
-3.828828828828829,1.6284319546883029e-68,4.369691141825099e-63
-3.818818818818819,2.6861744968742486e-68,7.2080094415948e-63
-3.808808808808809,4.43097017771243e-68,1.1889947921678421e-62
-3.798798798798799,7.309092070758161e-68,1.9613023918146505e-62
-3.7887887887887888,1.2056688435307939e-67,3.2352598156669295e-62
-3.7787787787787788,1.9888070176000648e-67,5.336712033061329e-62
-3.7687687687687688,3.2806299793500085e-67,8.803155525841604e-62
-3.7587587587587588,5.411552235167143e-67,1.4521215822038897e-61
-3.7487487487487487,8.926607931487818e-67,2.395342310279967e-61
-3.7387387387387387,1.472485632581907e-66,3.9512289148056664e-61
-3.7287287287287287,2.428933761627435e-66,6.517736471398779e-61
-3.7187187187187187,4.006639581283155e-66,1.0751310447091951e-60
-3.7087087087087087,6.609138951384541e-66,1.7734788271508823e-60
-3.6986986986986987,1.0902083102947654e-65,2.925436081332012e-60
-3.6886886886886887,1.798349480285647e-65,4.825643325952781e-60
-3.6786786786786787,2.9664613842185394e-65,7.96012384543697e-60
-3.6686686686686687,4.893316477430189e-65,1.3130595726774655e-59
-3.6586586586586587,8.071753866635126e-65,2.165953036507414e-59
-3.6486486486486487,1.3314734655739524e-64,3.572840603712687e-59
-3.6386386386386387,2.196327612088718e-64,5.893567295494945e-59
-3.6286286286286287,3.6229448835046314e-64,9.721714265795665e-59
-3.6186186186186187,5.976216643030661e-64,1.6036421326353484e-58
-3.6086086086086087,9.858048221227382e-64,2.6452825286290005e-58
-3.5985985985985987,1.6261310547597396e-63,4.363516967947481e-58
-3.5885885885885886,2.682379055075055e-63,7.197824853677854e-58
-3.5785785785785786,4.4247094193576103e-63,1.1873147968665373e-57
-3.5685685685685686,7.298764657705958e-63,1.9585311611714292e-57
-3.5585585585585586,1.203965288556965e-62,3.2306885414068383e-57
-3.5485485485485486,1.9859969241776484e-62,5.32917150285968e-57
-3.5385385385385386,3.2759945991220845e-62,8.790717069409754e-57
-3.5285285285285286,5.403905959180317e-62,1.4500698007738146e-56
-3.5185185185185186,8.913995042448924e-62,2.3919578010686566e-56
-3.5085085085085086,1.470405077679343e-61,3.9456460089300586e-56
-3.4984984984984986,2.425501789230531e-61,6.508527207641497e-56
-3.4884884884884886,4.0009783826682466e-61,1.0736119336791884e-55
-3.4784784784784786,6.599800540100407e-61,1.770972982620519e-55
-3.4684684684684686,1.0886678957775642e-60,2.9213025738488128e-55
-3.4584584584584586,1.7958084946590192e-60,4.818824912477139e-55
-3.4484484484484486,2.9622699098573396e-60,7.948876554240857e-55
-3.4384384384384385,4.8864024448843756e-60,1.3112042795113664e-54
-3.4284284284284285,8.060348847320901e-60,2.1628926438562782e-54
-3.4184184184184185,1.3295921544187243e-59,3.5677923432273604e-54
-3.4084084084084085,2.193224301550499e-59,5.885239954257116e-54
-3.3983983983983985,3.617825827961877e-59,9.70797792784465e-54
-3.388388388388388,5.967772522042268e-59,1.6013762595924171e-53
-3.378378378378378,9.844119249628235e-59,2.641544865312112e-53
-3.368368368368368,1.6238334058976184e-58,4.357351517895474e-53
-3.358358358358358,2.678588976061739e-58,7.1876546561183e-53
-3.348348348348348,4.418457507168465e-58,1.1856371753218367e-52
-3.338338338338338,7.28845183681641e-58,1.9557638461504937e-52
-3.328328328328328,1.2022641406284573e-57,3.226123726148422e-52
-3.318318318318318,1.9831908012888657e-57,5.321641627082672e-52
-3.308308308308308,3.271365768474761e-57,8.778296187948562e-52
-3.298298298298298,5.396270487032006e-57,1.4480209184171564e-51
-3.288288288288288,8.901399974845801e-57,2.3885780740142347e-51
-3.278278278278278,1.4683274625058118e-56,3.9400709914453875e-51
-3.268268268268268,2.4220746660539125e-56,6.499330956153178e-51
-3.258258258258258,3.9953251830682504e-56,1.0720949690836664e-50
-3.248248248248248,6.590475323564722e-56,1.7684706787339971e-50
-3.238238238238238,1.0871296577957057e-55,2.917174906822843e-50
-3.228228228228228,1.7932710993290545e-55,4.812016133108237e-50
-3.218218218218218,2.9580843578578515e-55,7.937645154953374e-50
-3.208208208208208,4.879498181550629e-55,1.3093516077897515e-49
-3.198198198198198,8.048959942777958e-55,2.1598365754001433e-49
-3.188188188188188,1.3277135014702538e-54,3.562751215703467e-49
-3.178178178178178,2.1901253758482416e-54,5.8769243791720286e-49
-3.168168168168168,3.612714005410703e-54,9.694260998711616e-49
-3.158158158158158,5.959340332210745e-54,1.5991135881244977e-48
-3.148148148148148,9.830209959029368e-54,2.6378124831426114e-48
-3.138138138138138,1.6215390035083308e-53,4.351194779342512e-48
-3.128128128128128,2.6748042522567374e-53,7.177498828582944e-48
