t,x
1.0830000000000002,0.194207
1.084,0.105784
1.0850000000000002,0.036226
1.086,0.220979
1.0870000000000002,0.093372
1.088,-0.464004
1.0890000000000002,-0.139183
1.09,-0.207426
1.0910000000000002,0.092357
1.092,0.243618
1.0930000000000002,-0.080121
1.094,-0.011073
1.0950000000000002,0.12559
1.096,0.149217
1.0970000000000002,-0.313424
1.098,0.199789
1.0990000000000002,-0.126464
1.1,0.259864
1.1010000000000002,0.055216
1.102,-0.120482
1.103,0.175414
1.104,0.177256
1.105,0.241196
1.106,-0.09724
1.107,0.18044
1.108,0.063124
1.109,-0.113672
1.11,-0.077987
1.111,-0.153605
1.112,-0.25255
1.113,0.172316
1.114,-0.160261
1.115,0.382993
1.116,0.207111
1.117,-0.093768
1.118,0.088337
1.119,0.099849
1.12,0.004379
1.121,0.154592
1.122,0.097285
1.123,-0.010244
1.124,0.258862
1.125,0.214543
1.126,-0.220563
1.127,0.038353
1.128,0.189878
1.129,0.249962
1.13,0.026209
1.131,-0.081034
1.132,-0.109063
1.133,-0.115523
1.134,0.069336
1.135,-0.007317
1.136,0.027308
1.137,0.072935
1.138,-0.00305
1.139,0.413402
1.14,0.060462
1.141,0.162929
1.142,-0.064932
1.143,0.158712
1.144,-0.026635
1.145,-0.307445
1.146,0.189367
1.147,-0.14854
1.148,-0.329755
1.149,0.03872
1.15,0.169567
1.151,0.149866
1.152,0.466838
1.153,0.349603
1.154,-0.087838
1.155,-0.055627
1.156,-0.053467
1.157,0.261895
1.158,-0.117357
1.159,0.213261
1.16,0.319575
1.161,-0.191398
1.162,0.067861
1.163,-0.276535
1.164,-0.325141
1.165,-0.163718
1.166,-0.217386
1.167,-0.197452
1.168,-0.370291
1.169,0.342052
1.1700000000000002,0.251567
1.171,-0.305668
1.1720000000000002,0.25841
1.173,0.369979
1.1740000000000002,-0.009486
1.175,-0.451582
1.1760000000000002,0.101692
1.177,0.106948
1.1780000000000002,0.025155
1.179,0.139958
1.1800000000000002,0.309456
1.181,0.036912
1.1820000000000002,0.181355
1.183,-0.26453
1.1840000000000002,0.077807
1.185,0.177129
1.1860000000000002,0.191837
1.187,0.215761
1.1880000000000002,0.26965
1.189,0.370625
1.1900000000000002,-0.174713
1.191,-0.104765
1.1920000000000002,0.01333
1.193,0.487959
1.1940000000000002,0.054716
1.195,0.260592
1.1960000000000002,-0.044774
1.197,0.146247
1.1980000000000002,-0.025448
1.199,0.084488
1.2000000000000002,-0.182786
1.201,0.140035
1.2020000000000002,-0.028436
1.203,0.151285
1.2040000000000002,0.30979
1.205,-0.12318
1.2060000000000002,-0.128236
1.207,0.27295
1.2080000000000002,-0.09996
1.209,0.158057
1.2100000000000002,-0.023677
1.211,-0.000284
1.2120000000000002,0.354235
1.213,0.248233
1.2140000000000002,0.131823
1.215,-0.043507
1.2160000000000002,-0.158581
1.217,0.136865
1.2180000000000002,0.350447
1.219,0.070646
1.2200000000000002,0.313755
1.221,-0.320935
1.2220000000000002,0.018948
1.223,0.004937
1.2240000000000002,0.217764
1.225,0.24673
1.2260000000000002,0.329127
1.227,0.398973
1.2280000000000002,-0.505644
1.229,0.335523
1.2300000000000002,-0.015287
1.231,-0.217256
1.2320000000000002,0.373626
1.233,-0.053926
1.2340000000000002,0.093429
1.235,-0.153223
1.2360000000000002,0.067
1.237,0.015124
1.2380000000000002,0.111852
1.239,0.213652
1.24,-0.381505
1.241,0.114946
1.242,0.24503
1.243,0.375686
1.244,-0.347693
1.245,0.08804
1.246,0.190863
1.247,0.249348
1.248,-0.125596
1.249,-0.152403
1.25,0.188454
1.251,-0.028684
1.252,0.067584
1.253,0.344308
1.254,0.003853
1.255,0.262609
1.256,0.07081
1.257,0.040349
1.258,-0.000736
1.259,0.204432
1.26,-0.026441
1.261,-0.316008
1.262,0.153176
1.263,0.177334
1.264,-0.038216
1.265,-0.200558
1.266,-0.340194
1.267,0.242249
1.268,0.130496
1.269,-0.04591
1.27,0.34367
1.271,-0.031068
1.272,0.008283
1.273,-0.161715
1.274,-0.262224
1.275,-0.14472
1.276,0.366547
1.277,-0.190104
1.278,-0.107749
1.279,-0.172703
1.28,-0.071015
1.281,-0.108345
1.282,-0.070844
1.283,0.158575
1.284,-0.011653
1.285,0.182551
1.286,-0.060059
1.287,0.194303
1.288,0.264208
1.289,-0.071928
1.29,-0.191754
1.291,-0.179792
1.292,-0.028043
1.293,0.366894
1.294,0.240727
1.2950000000000002,0.267359
1.296,0.341691
1.2970000000000002,0.505195
1.298,-0.102235
1.2990000000000002,0.005858
1.3,0.324118
1.3010000000000002,0.029632
1.302,0.348552
1.3030000000000002,0.188382
1.304,-0.241891
1.3050000000000002,-0.210392
1.306,0.027462
1.3070000000000002,0.071818
1.308,-0.102293
1.3090000000000002,-0.029313
1.31,-0.057812
1.3110000000000002,0.266416
1.312,-0.200888
1.3130000000000002,-0.004228
1.314,-0.056441
1.3150000000000002,-0.124338
1.316,-0.068184
1.3170000000000002,-0.037007
1.318,-0.149566
1.3190000000000002,0.131406
1.32,-0.131133
1.3210000000000002,-0.112706
1.322,-0.215388
1.3230000000000002,-0.066311
