x,i,t,m,s
-0.05210420841683394,0.46507384175438904,0.37323863933983725,0.19716507842288244,0.19265198213496937
-0.03206412825651306,0.462834549380948,0.37017110189191227,0.19241855542787345,0.18906967095507657
-0.012024048096192619,0.46210619984483253,0.36877651624554725,0.19016106674212363,0.18792224256683857
0.00801603206412782,0.46289754110850057,0.369033798002115,0.19034693190861862,0.18919149567197663
0.028056112224448704,0.465217879365696,0.3709482032240757,0.1930007171251637,0.19292900313040115
0.04809619238476959,0.4690771333614385,0.3745515821723063,0.19821909327907622,0.19925879514508418
0.06813627254508958,0.47448541325402954,0.37990315688071585,0.20617421809235986,0.20838158578872668
0.08817635270541047,0.48145210661895604,0.38709081547187535,0.21711856175167119,0.22058045617226615
0.10821643286573135,0.48998444298380345,0.3962328830865618,0.23139086964234273,0.23622767428962058
0.12825651302605223,0.5000854987108402,0.40748027850039537,0.24942264887872434,0.25579200935666746
0.14829659318637223,0.5117515973370794,0.421018883903348,0.27174413302678374,0.2798454413676386
0.1683366733466931,0.5249690581555059,0.43707182569164016,0.29898807630355295,0.30906752701770457
0.188376753507014,0.5397102497484048,0.45590116393837204,0.3318889148388616,0.3442448192236604
0.20841683366733488,0.5559289176344206,0.4778081894994236,0.3712737885580405,0.38626162838016614
0.22845691382765487,0.573554778819881,0.5031310991424347,0.4180406683338359,0.43607708613800145
0.24849699398797576,0.5924874138016106,0.5322382324529716,0.47311748884702226,0.4946820429391167
0.26853707414829664,0.612589541491437,0.5655142986711915,0.5373949952638039,0.5630280607530098
0.28857715430861663,0.6336798373914792,0.603336129495339,0.6116254188054652,0.641920126878053
0.3086172344689375,0.655525552090044,0.6460335828772715,0.6962798052942827,0.7318654588339538
0.3286573146292584,0.6778353061136982,0.693830553939259,0.791359802458529,0.8328739244970944
0.3486973947895793,0.7002525760857743,0.7467610929916633,0.8961661169258668,0.9442123877894901
0.3687374749498993,0.7223505398928334,0.8045571157374392,1.009036745433725,1.0641268406056987
0.38877755511022016,0.7436291038861531,0.8665080807917254,1.1270839259752707,1.1895629869217266
0.40881763527054105,0.7635150754185556,0.9313003264669792,1.2459785982857687,1.3159370071460403
0.42885771543086193,0.7813665444579437,0.996855153288286,1.359851696233432,1.4370300397486502
0.4488977955911819,0.7964825667719291,1.0601997502745024,1.461396357998936,1.5450956235085724
0.4689378757515028,0.8081191608166141,1.117421147754635,1.542254580739104,1.6312688117277945
0.4889779559118237,0.8155124015034695,1.1637650598607248,1.593745049053191,1.6863373104309385
0.5090180360721437,0.8179089809333805,1.1939403244917983,1.607927631651752,1.7018700892149086
0.5290581162324646,0.8146039860743345,1.202666031460943,1.5789051136644405,1.6715982306546984
0.5490981963927855,0.8049848168533573,1.1854457695477025,1.5041503008333037,1.5928234674021409
0.5691382765531063,0.7885791712467165,1.1394744703679238,1.3855512062641537,1.4675284985224037
0.5891783567134263,0.7651039384674835,1.0644960156571563,1.229835833698066,1.3028298837903487
0.6092184368737472,0.7345108002935284,0.963368069262562,1.0481140074841548,1.110494645382945
0.6292585170340681,0.6970235246334604,0.8420955441885102,0.8544699516526467,0.9054497210348628
0.649298597194389,0.653161556312383,0.7091941036965697,0.663817075460763,0.7035080188999054
0.669338677354709,0.6037447785403703,0.5744321947987318,0.48949267601128094,0.5188174097161977
0.6893787575150299,0.5498753980311725,0.44721743613198806,0.3412079743115797,0.3616853723104415
0.7094188376753507,0.4926829058640094,0.3350486720645673,0.223894018343629,0.23735293533006924
0.7294589178356707,0.4309451649538452,0.24304442722912428,0.13805727074454907,0.14636935391051403
0.7494989979959916,0.37767903930013225,0.1797205920602195,0.0836446940983096,0.088688589928637
0.7695390781563125,0.3322578179652536,0.13796006910540493,0.05067776426137846,0.05373847580374421
0.7895791583166334,0.2922991379230416,0.10953288122976523,0.03070410429545769,0.032561390185966925
0.8096192384769534,0.2571460516829426,0.08945233489402965,0.01860267307877338,0.01972970232194269
0.8296593186372743,0.22622061893844822,0.07469205692170254,0.011270786175574985,0.011954684719825574
0.8496993987975952,0.1990144048410039,0.06340873809580894,0.006828620893607574,0.00724362103484373
0.869739478957916,0.17508012099018855,0.05447207298004363,0.0041372496647538864,0.004389078166939349
0.889779559118236,0.1540242717125368,0.047181095432860067,0.0025066309116936847,0.0026594443666833035
0.9098196392785569,0.13550068472882992,0.04109342937997791,0.0015186894891178265,0.0016114190885817166
0.9298597194388778,0.1192048198497492,0.03592279326149356,0.0009201264551558552,0.0009763962395964337
0.9498997995991978,0.10486876213097149,0.03147764706066671,0.0005574757518742237,0.0005916211514765862
0.9699398797595187,0.09225681717185368,0.027624555288079385,0.00033775701673774574,0.00035847699190150347
0.9899799599198396,0.08116163614147573,0.02426633873725784,0.0002046363173645624,0.0002172095324888577
1.0100200400801604,0.07140080682483099,0.021329036029866785,0.0001239826676291605,0.00013161229889194917
1.0300601202404804,0.06281385464371719,0.018754089242392663,7.511716247321281e-05,7.974694766452055e-05
1.0501002004008013,0.05525960434707313,0.016493614208063674,4.551109708554613e-05,4.832052714943179e-05
1.0701402805611222,0.048613858995206705,0.014507486548238248,2.7573720403626356e-05,2.9278529302730057e-05
1.090180360721443,0.04276735807883153,0.012761495656292476,1.6706034061000228e-05,1.7740540691532826e-05
1.110220440881763,0.03762398120304275,0.01122612892360725,1.0121649387761042e-05,1.0749405503731643e-05
1.130260521042084,0.0330991678035765,0.009875731607393055,6.132381258502584e-06,6.513314373715877e-06
1.1503006012024048,0.0291185269144435,0.00868789497939995,3.715411639456774e-06,3.946568404748161e-06
1.1703406813627248,0.025616614130569416,0.007642987640356313,2.2510474925676354e-06,2.391317427608021e-06
1.1903807615230457,0.02253585565789659,0.006723780688232562,1.3638364994502826e-06,1.4489547508417106e-06
1.2104208416833666,0.019825601761612018,0.005915137849139148,8.263040672845792e-07,8.779553252730594e-07
1.2304609218436875,0.017441294050545866,0.005203753250692382,5.006306121130246e-07,5.319735158931264e-07
1.2505010020040075,0.01534373290734744,0.004577926056166744,3.033156668524202e-07,3.2233510460646737e-07
1.2705410821643284,0.013498433020492775,0.004027364886986528,1.8376898367838837e-07,1.9531032383674568e-07
1.2905811623246493,0.011875056422644017,0.0035430170961086808,1.1133956313656816e-07,1.1834305991519545e-07
1.3106212424849701,0.010446913714124602,0.0031169192204933325,6.745695619706176e-08,7.170680768415399e-08
1.3306613226452901,0.009190525271295257,0.0027420657275079936,4.0869930325747106e-08,4.34488196598682e-08
1.350701402805611,0.008085235225798239,0.002412293691004971,2.4761729875679046e-08,2.6326648623807726e-08
1.370741482965932,0.007112871868233903,0.0021221814031287243,1.5002305099566515e-08,1.5951927651595278e-08
1.390781563126252,0.006257448893074002,0.0018669592093822677,9.089394064415848e-09,9.665643334929274e-09
1.4108216432865728,0.005504902573080449,0.0016424310802302918,5.50695842952524e-09,5.8566377129171915e-09
1.4308617234468937,0.0048428605422010775,0.001444905620529483,3.3364804947067122e-09,3.548672769293162e-09
